id,age
686,25.09696
687,6.389673
688,13.500483
689,15.611855
690,9.429814
691,7.4528394
692,5.631305
693,6.7435756
694,16.5224
695,12.705358
696,8.306832
697,4.6330886
698,10.296197
699,9.700519
700,8.526419
701,9.001446
702,11.714036
703,10.90635
704,20.160498
705,6.4519386
706,9.785646
707,16.101748
708,5.493811
709,5.5793734
710,5.165128
711,55.31301
712,4.042727
713,11.494002
714,18.99994
715,5.8214884
716,19.327497
717,10.414429
718,12.379787
719,10.7695
720,14.847533
721,8.84382
722,5.801071
723,11.539442
724,11.583558
725,29.415348
726,5.8238573
727,14.481383
728,11.044276
729,19.564938
730,8.239864
731,5.049917
732,9.620805
733,15.532684
734,10.683555
735,7.726589
736,4.7013073
737,13.628955
738,12.564564
739,3.6850066
740,9.023871
741,17.348856
742,15.87069
743,21.264902
744,9.39684
745,11.009754
746,9.934893
747,7.2391405
748,10.458791
749,12.279869
750,8.820464
751,10.730638
752,12.005417
753,10.128149
754,8.78002
755,5.9744782
756,11.959138
757,10.7849
758,12.854133
759,12.288341
760,8.109566
761,8.143065
762,36.61375
763,7.757072
764,15.895688
765,9.560144
766,17.456587
767,12.867391
768,5.8442936
769,7.352451
770,5.2292686
771,12.328942
772,12.278901
773,19.180254
774,11.785541
775,18.108103
776,11.201205
777,11.736966
778,9.105325
779,14.28802
780,5.570739
781,6.702498
782,16.33537
783,14.578355
784,22.729805
785,18.979296
786,12.82739
787,11.438622
788,11.392282
789,10.163995
790,12.118394
791,6.642611
792,13.102319
793,7.700063
794,10.381295
795,18.124414
796,15.896655
797,13.85758
798,13.8643465
799,5.247872
800,19.282866
801,8.150588
802,20.41659
803,3.0220437
804,7.810889
805,16.591555
806,3.2969294
807,16.852823
808,15.478114
809,22.857626
810,12.907098
811,11.732364
812,9.87349
813,10.507203
814,17.739634
815,5.8468013
816,9.0154505
817,6.582613
818,8.06547
819,8.513267
820,11.60565
821,17.331882
822,10.893612
823,12.088045
824,8.201116
825,7.232328
826,8.002928
827,13.167064
828,13.834157
829,26.943865
830,7.861688
831,4.585826
832,8.374716
833,9.988734
834,12.987919
835,13.399461
836,11.406168
837,6.826468
838,6.824756
839,11.67388
840,10.164507
841,7.47776
842,13.546337
843,8.159406
844,8.025717
845,10.482142
846,11.301952
847,29.542334
848,9.214368
849,6.634994
850,12.575824
851,9.852061
852,5.640986
853,19.278242
854,7.0629783
855,10.808431
856,6.421779
857,6.609763
858,7.0694017
859,18.120028
860,13.816669
861,13.315438
862,4.8703804
863,8.286357
864,13.444459
865,5.2991157
866,4.653188
867,23.223011
868,14.426282
869,9.395899
870,13.679515
871,7.860251
872,7.6431327
873,7.1722817
874,4.9782286
875,9.028604
876,20.351942
877,6.416823
878,2.4351487
879,13.406664
880,11.653732
881,7.1476774
882,24.761488
883,11.345363
884,16.64763
885,9.930531
886,9.005115
887,9.329583
888,8.544875
889,14.169235
890,10.879643
891,23.15096
892,15.01554
893,14.76714
894,8.805159
895,11.233706
896,9.859453
897,6.5952067
898,5.0454993
899,6.5784683
900,16.664358
901,6.6372933
902,10.431759
903,9.914268
904,15.910153
905,12.448878
906,8.181937
907,6.272601
908,4.197823
909,10.800454
910,15.488187
911,27.963768
912,16.764025
913,15.806296
914,11.856643
915,12.537689
916,12.472307
917,6.413834
918,15.272252
919,8.60759
920,7.4853053
921,13.507617
922,3.7890172
923,13.258933
924,17.460304
925,7.1577477
926,11.837651
927,14.391354
928,4.5466113
929,16.943121
930,20.873095
931,7.495264
932,9.957033
933,11.62908
934,12.8359995
935,9.445764
936,7.140712
937,4.3023243
938,11.348735
939,3.5163856
940,12.927807
941,19.841333
942,5.286552
943,10.334678
944,7.181739
945,12.5128
946,10.9476385
947,39.038425
948,10.518184
949,12.475183
950,11.857093
951,15.294442
952,14.321984
953,6.468306
954,12.772368
955,8.0987215
956,14.63761
957,17.362349
958,5.347884
959,2.6550775
960,11.616963
961,10.144272
962,5.823596
963,14.23003
964,10.574046
965,7.252452
966,19.343359
967,6.4359145
968,6.314773
969,16.025595
970,4.8249416
971,6.60687
972,7.6893325
973,16.622871
974,5.8854976
975,10.795353
976,21.289194
977,9.449901
978,11.4485
979,13.110522
980,12.033815
981,7.9244924
982,8.296718
983,6.3647437
984,18.628878
985,13.062845
986,17.87026
987,15.121905
988,6.821972
989,12.803655
990,6.1970773
991,15.02217
992,14.113544
993,3.4831634
994,13.815558
995,10.347038
996,14.221087
997,9.974179
998,6.971375
999,6.850834
1000,11.10732
1001,7.7551847
